,Label,HMDB0035133 / HMDB0039893,N.A.,HMDB0000742,HMDB0002005,N.A. 2,HMDB0004670,HMDB0028911,HMDB0013141
1,14,1105.876681,621.7791572,1311.621088,1536.712943,394.7651815,1612.770643,483.7877353,2166.426459
2,19,776.6370811,603.5308676,789.8032214,885.5220565,2019.795264,849.5951244,4311.173313,1283.611659
3,16,1776.552676,508.8768245,1109.64041,1472.794357,777.5495543,846.7861033,1033.370975,635.8233426
4,22,1016.378998,1004.82993,1080.319406,638.900019,1485.104046,1213.296477,1507.957283,158.7299648
5,5,1632.653283,685.5850301,1083.144599,1344.76134,552.1785272,2283.199115,740.5986051,1102.818839
6,13,1495.489832,240.9668601,1218.297317,1065.389728,272.3434973,1353.802188,253.6020907,949.0184757
7,6,1780.477371,386.3905435,1283.914169,1224.048823,292.2693973,404.809741,276.7347139,928.9670466
8,15,1068.791364,619.3951169,930.1197023,1469.083777,931.7824696,2078.093822,986.9968051,987.3528288
9,0,681.3533102,2935.017246,1100.794734,993.3863882,1529.308934,1121.140759,3876.269007,1899.204495
10,7,626.771144,1088.032393,1199.918721,1051.032317,1263.493027,1082.868667,1406.667033,1753.269051
11,21,428.4384448,1309.289665,1151.102286,1249.289591,2799.825076,458.442346,987.6018126,1192.32953
12,23,158.5900182,1822.506469,1062.012376,478.0599517,1095.679663,1352.451308,912.4552959,1007.166546
13,6,1564.536817,298.3654214,1256.033338,971.6597293,434.6970179,1340.72752,318.7541911,844.8031945
14,16,2361.572065,216.9997955,1352.895264,921.1984749,642.5209259,499.9118895,548.4438316,354.6748678
15,9,1470.433359,407.0409879,1236.463746,870.6630981,20.85502716,1461.176151,648.3923451,861.6819354
16,26,247.5489772,189.6402155,155.5606665,249.9413193,327.504701,570.7664623,497.771439,17.24894939
17,15,1392.513035,344.1634222,1262.800166,842.5063852,316.195584,1158.289024,269.8773002,357.8532038
18,0,689.5054753,1807.166788,787.9700786,1182.088258,774.2884439,777.711984,2203.301071,2718.649181
19,19,467.5615654,852.5146881,667.0896142,676.4553751,1575.81066,448.0771728,2190.025676,420.485311
20,19,891.9550429,614.9120972,774.5804768,887.7719885,1451.061843,240.9374517,2443.158601,1400.872016
21,19,432.9816839,769.1684539,901.4470958,931.6547657,791.7688325,412.7359861,1508.949695,1042.370144
22,14,810.3948419,376.3199211,1018.958781,969.1153144,670.6774126,627.2145556,564.6234374,1424.625759
23,26,433.3138303,3366.891593,613.9417093,954.0505023,1937.297501,308.022173,1384.554802,1340.80875
24,12,1389.238307,351.7024656,1301.524357,992.7127127,460.5479859,647.5048626,1143.391093,1770.806905
